MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Talya KAYE POSITION,Talya KAYE LAP TIME,Talya KAYE ELAPSED TIME
1,14.82,14.82,4,15.22,15.22,3,15.14,15.14,2,15.00,15.00,5,15.34,15.34
2,11.45,26.27,4,11.35,26.57,1,11.00,26.14,3,11.44,26.44,5,11.31,26.65
2,9.86,36.13,4,9.82,36.39,1,9.85,35.99,3,9.83,36.27,5,9.93,36.58
2,9.68,45.81,4,9.62,46.01,1,9.72,45.71,3,9.65,45.92,5,9.62,46.20
2,9.69,55.50,4,9.66,55.67,1,9.72,55.43,3,9.67,55.59,5,9.83,56.03
1,9.68,1:05.18,4,9.88,1:05.55,2,9.79,1:05.22,3,9.80,1:05.39,5,10.19,1:06.22
1,9.35,1:14.53,4,9.27,1:14.82,3,9.59,1:14.81,2,9.24,1:14.63,5,10.77,1:16.99
2,9.42,1:23.95,3,9.38,1:24.20,4,9.77,1:24.58,1,9.15,1:23.78,5,11.44,1:28.43
2,9.48,1:33.43,3,9.52,1:33.72,4,10.06,1:34.646,1,9.25,1:33.03,5,11.87,1:40.304
