ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME
2,9.53,9.53,1,9.42,9.42,3,9.66,9.66,4,9.83,9.83,5,10.05,10.05
2,13.38,22.91,1,13.33,22.75,3,13.36,23.02,4,13.33,23.16,5,13.30,23.35
2,12.91,35.82,1,12.94,35.69,3,12.94,35.96,4,12.93,36.09,5,12.90,36.25
4,12.31,48.13,1,12.29,47.98,3,12.11,48.07,5,12.12,48.21,2,11.78,48.03
3,10.50,58.63,2,10.58,58.56,4,10.60,58.67,5,10.58,58.79,1,10.45,58.48
2,10.19,1:08.82,3,10.27,1:08.83,4,10.35,1:09.02,5,10.36,1:09.15,1,10.25,1:08.73
3,10.50,1:19.32,4,10.58,1:19.41,2,10.21,1:19.23,5,10.37,1:19.52,1,10.41,1:19.14
4,9.97,1:29.29,5,9.95,1:29.36,3,9.93,1:29.16,1,9.51,1:29.03,2,9.94,1:29.08
4,9.23,1:38.52,5,9.25,1:38.61,3,9.20,1:38.36,1,9.11,1:38.14,2,9.20,1:38.28
5,9.02,1:47.54,4,8.91,1:47.52,3,8.99,1:47.35,2,9.13,1:47.27,1,8.94,1:47.22
5,9.07,1:56.61,4,8.80,1:56.32,2,8.80,1:56.15,3,8.96,1:56.23,1,8.82,1:56.04
5,9.37,2:05.98,4,9.00,2:05.32,2,8.94,2:05.09,3,8.95,2:05.18,1,8.96,2:05.00
5,9.86,2:15.84,3,8.79,2:14.11,2,8.83,2:13.92,4,8.94,2:14.12,1,8.81,2:13.81
5,10.36,2:26.20,3,8.69,2:22.80,2,8.76,2:22.68,4,8.91,2:23.03,1,8.80,2:22.61
