OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,16.48,16.48,2,16.62,16.62,3,16.77,16.77,4,17.00,17.00
1,13.55,30.03,3,13.55,30.17,4,13.51,30.28,2,13.16,30.16
2,10.54,40.57,3,10.50,40.67,4,10.47,40.75,1,10.39,40.55
1,9.66,50.23,2,9.64,50.31,4,9.76,50.51,3,9.84,50.39
1,9.29,59.52,3,9.36,59.67,4,9.43,59.94,2,9.21,59.60
3,9.02,1:08.54,2,8.86,1:08.53,4,9.14,1:09.08,1,8.79,1:08.39
3,8.99,1:17.53,2,8.81,1:17.34,4,9.41,1:18.49,1,8.88,1:17.27
3,9.02,1:26.55,1,8.94,1:26.28,4,9.80,1:28.29,2,9.06,1:26.33
3,9.84,1:36.398,1,9.17,1:35.45,4,10.32,1:38.613,2,9.34,1:35.67
