Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
3,10.341,10.341,1,10.072,10.072,4,10.432,10.432,5,10.696,10.696,2,10.161,10.161
1,12.744,23.085,2,13.015,23.087,4,13.035,23.467,5,13.061,23.756,3,13.088,23.249
5,12.980,36.065,2,12.761,35.848,3,12.445,35.912,4,12.279,36.035,1,12.495,35.743
4,12.498,48.562,1,12.421,48.269,3,12.622,48.533,5,12.699,48.734,2,12.754,48.497
1,11.102,59.664,2,11.492,59.761,4,11.371,59.904,5,11.409,1:00.142,3,11.285,59.782
5,11.633,1:11.297,2,11.224,1:10.984,1,11.011,1:10.914,4,11.129,1:11.270,3,11.326,1:11.107
5,10.651,1:21.947,3,10.679,1:21.663,1,10.633,1:21.547,4,10.591,1:21.860,2,10.552,1:21.659
5,10.323,1:32.270,1,10.083,1:31.746,2,10.355,1:31.901,4,10.220,1:32.079,3,10.276,1:31.935
5,10.068,1:42.338,1,9.958,1:41.703,3,9.895,1:41.796,4,9.991,1:42.070,2,9.814,1:41.749
5,9.442,1:51.779,1,9.531,1:51.233,2,9.530,1:51.325,4,9.413,1:51.483,3,9.609,1:51.357
5,9.423,2:01.202,2,9.207,2:00.440,1,8.955,2:00.280,4,9.242,2:00.724,3,9.206,2:00.562
5,10.005,2:11.206,3,9.125,2:09.564,1,9.137,2:09.416,4,9.418,2:10.141,2,8.982,2:09.544
5,10.698,2:21.904,2,9.068,2:18.632,1,9.114,2:18.530,4,9.603,2:19.744,3,9.103,2:18.647
5,11.91,2:33.809,2,9.07,2:27.696,1,9.10,2:27.622,4,9.62,2:29.356,3,9.16,2:27.799
