UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Lukasz MICHALCZUK POSITION,Lukasz MICHALCZUK LAP TIME,Lukasz MICHALCZUK ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,8.25,8.25,5,8.54,8.54,4,8.42,8.42,1,8.12,8.12,3,8.41,8.41
2,12.12,20.37,4,12.08,20.63,5,12.25,20.67,1,12.02,20.15,3,12.21,20.62
2,11.78,32.16,5,11.88,32.51,4,11.71,32.38,1,11.81,31.96,3,11.75,32.37
2,11.60,43.76,3,11.45,43.97,5,11.70,44.08,1,11.67,43.63,4,11.65,44.03
2,11.66,55.42,4,11.72,55.69,5,11.62,55.71,3,11.80,55.44,1,11.34,55.37
3,10.37,1:05.80,4,10.43,1:06.13,5,10.43,1:06.14,2,10.26,1:05.70,1,10.21,1:05.59
3,10.26,1:16.07,2,9.82,1:15.95,5,10.27,1:16.42,1,10.21,1:15.91,4,10.65,1:16.24
1,8.83,1:24.91,2,9.19,1:25.15,5,9.35,1:25.77,3,9.37,1:25.29,4,9.23,1:25.47
1,8.76,1:33.67,2,9.34,1:34.50,5,9.16,1:34.93,3,9.34,1:34.63,4,9.29,1:34.77
1,9.22,1:42.90,4,10.28,1:44.78,5,9.85,1:44.79,2,9.76,1:44.39,3,9.89,1:44.67
1,9.75,1:52.65,3,9.47,1:54.26,5,9.95,1:54.75,2,9.71,1:54.10,4,10.00,1:54.68
1,9.90,2:02.56,2,9.35,2:03.61,5,10.05,2:04.81,3,9.68,2:03.79,4,9.83,2:04.51
1,10.01,2:12.58,2,9.61,2:13.23,5,10.26,2:15.07,3,9.61,2:13.41,4,10.13,2:14.65
1,10.21,2:22.786,3,10.42,2:23.650,0,,DQ,2,9.94,2:23.347,4,10.63,2:25.278
