DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME
2,13.47,13.47,3,13.58,13.58,1,13.35,13.35,4,13.72,13.72,5,13.85,13.85
1,10.17,23.64,3,10.21,23.79,1,10.29,23.64,4,10.18,23.90,4,10.05,23.90
1,9.93,33.57,3,9.89,33.68,1,9.93,33.57,5,10.04,33.94,4,9.90,33.80
2,9.50,43.07,3,9.55,43.23,1,9.38,42.95,5,9.50,43.44,4,9.52,43.32
2,9.21,52.28,3,9.14,52.37,1,9.22,52.17,5,9.19,52.63,4,9.20,52.52
2,9.17,1:01.45,3,9.20,1:01.57,1,9.25,1:01.42,5,9.23,1:01.86,4,9.16,1:01.68
1,9.19,1:10.64,3,9.26,1:10.83,2,9.30,1:10.72,5,9.27,1:11.13,4,9.24,1:10.92
1,9.31,1:19.95,3,9.36,1:20.19,2,9.38,1:20.10,5,9.41,1:20.54,4,9.37,1:20.29
1,9.47,1:29.42,3,9.58,1:29.77,2,9.51,1:29.61,5,9.69,1:30.23,4,9.56,1:29.85
