HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,13.08,13.08,3,13.31,13.31,2,13.18,13.18,4,13.43,13.43
2,9.96,23.04,3,9.84,23.15,1,9.79,22.97,4,9.82,23.25
1,9.32,32.36,3,9.42,32.57,2,9.50,32.47,4,9.46,32.71
2,9.08,41.44,3,9.06,41.63,1,8.97,41.44,4,9.05,41.76
4,9.29,50.73,2,8.79,50.42,1,8.85,50.29,3,8.76,50.52
4,9.37,1:00.10,2,8.66,59.08,1,8.65,58.94,3,8.71,59.23
4,9.16,1:09.26,2,8.61,1:07.69,1,8.64,1:07.58,3,8.62,1:07.85
4,9.66,1:18.92,2,8.64,1:16.33,1,8.63,1:16.21,3,8.73,1:16.58
4,10.05,1:28.969,2,8.84,1:25.167,1,8.78,1:24.989,3,9.16,1:25.735
