JUNG Ba-Ra POSITION,JUNG Ba-Ra LAP TIME,JUNG Ba-Ra ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
4,13.30,13.30,1,12.93,12.93,2,13.02,13.02,3,13.20,13.20
4,9.77,23.08,1,9.88,22.81,2,9.93,22.96,3,9.80,23.00
4,9.73,32.82,1,9.71,32.53,2,9.62,32.58,3,9.67,32.68
4,9.73,42.56,1,9.65,42.19,2,9.84,42.43,3,9.81,42.49
3,9.57,52.13,1,9.63,51.82,2,9.59,52.02,4,9.66,52.15
4,9.73,1:01.86,1,9.74,1:01.56,2,9.77,1:01.79,3,9.65,1:01.81
3,9.77,1:11.63,1,9.85,1:11.41,4,9.84,1:11.63,2,9.76,1:11.57
1,9.56,1:21.20,2,9.94,1:21.36,3,9.77,1:21.41,4,10.09,1:21.66
1,9.77,1:30.965,2,10.01,1:31.370,3,10.25,1:31.659,4,10.10,1:31.751
