HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,8.06,8.06,5,8.18,8.18,4,8.16,8.16,2,8.07,8.07,6,8.39,8.39,3,8.09,8.09
3,10.75,18.81,5,10.86,19.04,4,10.79,18.95,1,10.43,18.50,6,10.75,19.14,2,10.64,18.73
2,10.15,28.96,3,9.95,28.99,5,10.20,29.15,1,10.37,28.87,6,10.11,29.25,4,10.34,29.07
3,9.66,38.62,1,9.46,38.45,5,9.73,38.88,2,9.69,38.56,6,9.72,38.97,4,9.71,38.78
2,9.77,48.39,1,9.91,48.36,6,9.80,48.68,4,9.92,48.48,5,9.63,48.60,3,9.69,48.47
2,10.07,58.46,1,10.02,58.38,5,10.03,58.71,6,10.28,58.76,4,10.04,58.64,3,10.12,58.59
2,10.31,1:08.77,1,10.31,1:08.69,5,10.34,1:09.05,6,10.41,1:09.17,4,10.29,1:08.93,3,10.25,1:08.84
1,9.94,1:18.71,2,10.13,1:18.82,5,10.11,1:19.16,6,10.09,1:19.26,4,10.09,1:19.02,3,10.10,1:18.94
1,9.63,1:28.34,2,9.63,1:28.45,5,9.62,1:28.78,6,9.65,1:28.91,4,9.64,1:28.66,3,9.64,1:28.58
1,9.34,1:37.68,2,9.32,1:37.77,5,9.34,1:38.12,6,9.32,1:38.23,4,9.31,1:37.97,3,9.30,1:37.88
1,9.32,1:47.00,3,9.45,1:47.22,5,9.28,1:47.40,6,9.29,1:47.52,4,9.33,1:47.30,2,9.23,1:47.11
1,9.17,1:56.17,3,9.22,1:56.44,5,9.23,1:56.63,6,9.21,1:56.73,4,9.21,1:56.51,2,9.21,1:56.32
1,9.13,2:05.30,4,9.16,2:05.60,5,9.10,2:05.73,6,9.13,2:05.86,2,8.97,2:05.48,3,9.17,2:05.49
1,9.10,2:14.398,5,9.37,2:14.966,4,9.09,2:14.814,6,9.25,2:15.111,2,9.02,2:14.495,3,9.21,2:14.691
