Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Sophia MILAN POSITION,Sophia MILAN LAP TIME,Sophia MILAN ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME
0,10.246,10.246,0,9.928,9.928,0,10.167,10.167,0,9.759,9.759,0,10.303,10.303
0,12.470,22.716,0,12.573,22.501,0,12.734,22.901,0,12.636,22.395,0,12.046,22.349
0,11.759,34.475,0,11.991,34.492,0,11.842,34.743,0,11.909,34.304,0,12.218,34.567
0,11.919,46.393,0,11.931,46.422,0,11.969,46.712,0,11.947,46.251,0,11.613,46.179
0,11.645,58.038,0,11.504,57.926,0,11.570,58.281,0,11.560,57.811,0,11.632,57.811
0,11.171,1:09.209,0,11.131,1:09.057,0,10.991,1:09.272,0,11.010,1:08.821,0,11.169,1:08.980
0,10.253,1:19.462,0,10.416,1:19.473,0,10.689,1:19.961,0,10.379,1:19.200,0,10.931,1:19.911
0,10.298,1:29.760,0,10.241,1:29.715,0,10.046,1:30.007,0,10.337,1:29.536,0,10.912,1:30.824
0,10.438,1:40.198,0,10.498,1:40.212,0,10.331,1:40.338,0,10.442,1:39.979,0,11.352,1:42.176
0,10.257,1:50.455,0,10.170,1:50.382,0,10.366,1:50.704,0,10.303,1:50.282,0,11.925,1:54.101
0,10.227,2:00.682,0,10.310,2:00.692,0,10.296,2:01.000,0,10.248,2:00.530,0,12.320,2:06.420
0,10.133,2:10.815,0,10.059,2:10.750,0,10.475,2:11.474,0,10.407,2:10.937,0,12.669,2:19.089
0,10.127,2:20.942,0,10.141,2:20.892,0,10.550,2:22.025,0,10.632,2:21.569,0,13.242,2:32.331
0,10.486,2:31.428,0,10.491,2:31.383,0,10.694,2:32.719,0,10.697,2:32.266,0,18.063,2:50.395
