Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME,SAPUNENKA Aleh POSITION,SAPUNENKA Aleh LAP TIME,SAPUNENKA Aleh ELAPSED TIME,Petar PETROV POSITION,Petar PETROV LAP TIME,Petar PETROV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
1,13.936,13.936,2,13.981,13.981,5,14.648,14.648,4,14.387,14.387,3,14.376,14.376
1,11.677,25.612,2,11.876,25.857,5,11.521,26.169,3,11.493,25.880,4,11.566,25.942
1,11.485,37.097,4,11.651,37.507,5,11.370,37.539,2,11.547,37.426,3,11.486,37.428
2,10.350,47.446,1,9.919,47.425,5,10.407,47.945,3,10.357,47.782,4,10.429,47.856
3,9.965,57.411,4,10.172,57.596,5,10.232,58.177,1,9.493,57.275,2,9.538,57.393
3,9.451,1:06.861,4,9.720,1:07.316,5,10.164,1:08.340,1,9.415,1:06.689,2,9.358,1:06.750
3,9.533,1:16.394,4,10.220,1:17.535,5,10.638,1:18.978,1,9.469,1:16.158,2,9.410,1:16.159
3,9.473,1:25.867,4,10.451,1:27.986,5,11.595,1:30.572,1,9.435,1:25.593,2,9.581,1:25.740
2,9.38,1:35.238,4,10.77,1:38.751,5,12.24,1:42.803,1,9.37,1:34.963,3,9.68,1:35.411
