ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,MA Xingguang POSITION,MA Xingguang LAP TIME,MA Xingguang ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
2,13.16,13.16,1,13.09,13.09,3,13.24,13.24,5,13.47,13.47,4,13.31,13.31
2,10.04,23.20,1,10.02,23.11,3,10.03,23.27,4,9.89,23.36,5,10.19,23.50
2,9.67,32.87,1,9.66,32.77,3,9.69,32.96,4,9.67,33.03,5,9.65,33.15
2,9.33,42.20,1,9.31,42.08,4,9.41,42.37,3,9.25,42.28,5,9.36,42.51
2,9.27,51.47,1,9.29,51.37,4,9.30,51.67,3,9.29,51.57,5,9.28,51.79
5,9.51,1:00.98,1,9.13,1:00.50,2,8.96,1:00.63,3,9.11,1:00.68,4,9.08,1:00.87
5,9.28,1:10.26,1,9.08,1:09.58,2,9.05,1:09.68,3,9.28,1:09.96,4,9.19,1:10.06
5,9.27,1:19.53,1,9.16,1:18.74,2,9.17,1:18.85,3,9.32,1:19.28,4,9.33,1:19.39
5,9.49,1:28.995,1,9.36,1:28.10,2,9.35,1:28.20,4,9.65,1:28.919,3,9.37,1:28.76
