Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,13.360,13.360,3,13.630,13.630,4,13.660,13.660,2,13.470,13.470
2,10.660,24.030,3,10.620,24.260,4,10.650,24.320,1,10.490,23.970
1,10.550,34.590,3,10.620,34.890,4,10.600,34.920,2,10.630,34.600
2,10.220,44.810,1,9.900,44.790,4,10.140,45.060,3,10.270,44.880
1,9.480,54.290,3,9.710,54.500,4,9.570,54.630,2,9.580,54.470
1,9.570,1:03.870,2,9.430,1:03.930,4,9.380,1:04.020,3,9.530,1:04.010
2,9.530,1:13.400,3,9.550,1:13.480,1,9.300,1:13.330,4,9.620,1:13.630
2,9.420,1:22.830,3,9.540,1:23.020,1,8.930,1:22.260,4,9.560,1:23.200
2,9.760,1:32.590,3,9.860,1:32.880,1,9.690,1:31.960,4,10.000,1:33.210
