LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME
2,8.45,8.45,4,8.55,8.55,6,9.02,9.02,1,8.26,8.26,3,8.49,8.49,5,8.71,8.71
2,10.73,19.18,4,10.87,19.42,6,10.69,19.71,1,10.85,19.11,3,10.80,19.29,5,10.81,19.52
2,10.68,29.86,4,10.64,30.06,6,10.65,30.36,1,10.64,29.75,3,10.67,29.96,5,10.61,30.13
2,11.09,40.95,4,11.05,41.11,6,10.93,41.29,1,11.11,40.86,3,11.09,41.05,5,11.02,41.15
1,11.07,52.02,5,11.23,52.34,6,11.25,52.54,3,11.25,52.11,4,11.15,52.20,2,10.94,52.09
1,11.91,1:03.93,5,11.86,1:04.20,6,11.83,1:04.37,3,11.95,1:04.06,4,11.91,1:04.11,2,11.92,1:04.01
2,10.78,1:14.71,3,10.57,1:14.77,6,10.73,1:15.10,5,10.85,1:14.91,1,10.52,1:14.63,4,10.81,1:14.82
3,10.46,1:25.17,4,10.50,1:25.27,1,9.88,1:24.98,5,10.40,1:25.31,2,10.45,1:25.08,6,10.64,1:25.46
3,10.05,1:35.22,5,10.20,1:35.47,1,9.92,1:34.90,4,10.01,1:35.32,2,10.00,1:35.08,6,10.22,1:35.68
3,9.95,1:45.17,5,9.94,1:45.41,1,10.00,1:44.90,4,9.98,1:45.30,2,9.98,1:45.06,6,10.17,1:45.85
3,9.93,1:55.10,4,9.96,1:55.37,1,9.87,1:54.77,5,10.18,1:55.48,2,10.01,1:55.07,6,10.53,1:56.38
2,9.73,2:04.83,4,9.98,2:05.35,1,9.93,2:04.70,5,10.33,2:05.81,3,10.15,2:05.22,6,11.02,2:07.40
2,9.87,2:14.70,4,10.32,2:15.67,1,9.86,2:14.56,5,10.60,2:16.41,3,10.33,2:15.55,6,11.54,2:18.94
2,9.84,2:24.537,3,10.23,2:25.892,1,9.86,2:24.416,5,10.80,2:27.210,4,10.48,2:26.030,6,11.93,2:30.868
