SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
3,12.14,12.14,4,12.29,12.29,2,12.07,12.07,1,11.91,11.91,5,12.46,12.46
3,16.81,28.95,4,16.80,29.09,1,16.56,28.63,2,16.88,28.79,5,16.79,29.25
3,14.95,43.90,4,14.90,43.99,1,14.93,43.56,2,14.91,43.70,5,14.89,44.14
3,14.90,58.80,4,14.97,58.96,1,14.93,58.49,2,14.97,58.67,5,14.95,59.09
3,14.98,1:13.78,4,14.97,1:13.93,2,14.99,1:13.48,1,14.75,1:13.42,5,14.99,1:14.08
3,13.45,1:27.23,4,13.40,1:27.33,2,13.51,1:26.99,1,13.44,1:26.86,5,13.38,1:27.46
3,12.46,1:39.69,4,12.45,1:39.78,2,12.49,1:39.48,1,12.49,1:39.35,5,12.42,1:39.88
3,11.37,1:51.06,4,11.38,1:51.16,2,11.43,1:50.91,1,11.41,1:50.76,5,11.38,1:51.26
3,10.60,2:01.66,4,10.62,2:01.78,2,10.60,2:01.51,1,10.63,2:01.39,5,10.63,2:01.89
3,10.72,2:12.38,4,10.69,2:12.47,2,10.73,2:12.24,1,10.74,2:12.13,5,10.67,2:12.56
3,10.66,2:23.04,4,10.65,2:23.12,2,10.70,2:22.94,1,10.70,2:22.83,5,10.64,2:23.20
3,10.23,2:33.27,4,10.30,2:33.42,2,10.26,2:33.20,1,10.29,2:33.12,5,10.41,2:33.61
1,9.38,2:42.65,4,9.60,2:43.02,3,9.63,2:42.83,2,9.63,2:42.75,5,9.98,2:43.59
1,9.68,2:52.33,4,9.58,2:52.60,0,,PHOTO,0,,PHOTO,5,10.23,2:53.82
