Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME
3,8.77,8.77,2,8.71,8.71,4,8.96,8.96,1,8.46,8.46,5,9.19,9.19
4,13.71,22.48,3,13.65,22.36,2,13.26,22.22,1,13.73,22.20,5,13.45,22.64
4,12.64,35.13,1,12.18,34.55,3,12.66,34.89,2,12.61,34.81,5,12.64,35.29
4,12.61,47.74,3,13.16,47.72,2,12.62,47.51,1,12.67,47.48,5,12.56,47.85
5,12.76,1:00.51,4,12.74,1:00.46,2,12.84,1:00.35,1,12.78,1:00.26,3,12.56,1:00.42
4,11.80,1:12.31,5,11.97,1:12.43,2,11.80,1:12.16,1,11.86,1:12.12,3,11.74,1:12.16
4,10.92,1:23.23,3,10.78,1:23.22,1,10.93,1:23.09,2,10.97,1:23.10,5,11.07,1:23.24
4,10.46,1:33.70,5,10.54,1:33.76,2,10.43,1:33.53,1,10.33,1:33.43,3,10.39,1:33.64
5,10.40,1:44.11,1,9.75,1:43.52,2,10.05,1:43.59,3,10.35,1:43.79,4,10.16,1:43.80
5,10.09,1:54.20,2,10.41,1:53.93,1,10.15,1:53.74,3,10.15,1:53.95,4,10.25,1:54.05
2,9.79,2:04.00,1,9.87,2:03.80,3,10.41,2:04.15,5,10.50,2:04.45,4,10.27,2:04.33
2,9.73,2:13.73,1,9.71,2:13.52,3,10.01,2:14.17,5,10.65,2:15.11,4,10.61,2:14.95
2,10.01,2:23.75,1,9.99,2:23.51,3,9.91,2:24.08,5,11.14,2:26.25,4,10.84,2:25.79
2,10.38,2:34.126,1,10.53,2:34.031,3,10.33,2:34.406,5,12.05,2:38.300,4,11.48,2:37.267
