START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,season,competition,event,gender,round,race
,,,2,10.23,1:30.34,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,w,RepFinalB,1
1,10.15,1:40.350,2,10.14,1:40.471,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,w,RepFinalB,1
