Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
4,8.36,8.36,3,8.25,8.25,1,7.72,7.72,2,7.90,7.90,5,8.55,8.55
5,10.32,18.68,3,10.34,18.59,1,10.48,18.20,2,10.48,18.38,4,10.07,18.62
5,10.14,28.82,4,10.12,28.71,1,10.14,28.34,2,10.07,28.45,3,9.95,28.57
5,10.15,38.97,4,10.17,38.88,2,10.29,38.63,3,10.29,38.74,1,10.05,38.62
5,10.30,49.27,4,10.32,49.20,2,10.39,49.02,3,10.37,49.11,1,10.28,48.90
4,10.47,59.74,2,10.41,59.61,3,10.70,59.72,5,10.75,59.86,1,10.60,59.50
3,9.78,1:09.52,2,9.83,1:09.44,4,9.94,1:09.66,5,9.97,1:09.83,1,9.83,1:09.33
3,10.18,1:19.70,2,10.18,1:19.62,4,10.15,1:19.81,5,10.09,1:19.92,1,10.17,1:19.50
2,10.06,1:29.76,3,10.34,1:29.96,4,10.25,1:30.06,5,10.25,1:30.17,1,10.13,1:29.63
2,9.71,1:39.47,3,9.65,1:39.61,4,9.74,1:39.80,5,9.74,1:39.91,1,9.70,1:39.33
2,9.45,1:48.92,3,9.45,1:49.06,4,9.43,1:49.23,5,9.41,1:49.32,1,9.49,1:48.82
2,9.52,1:58.44,3,9.50,1:58.56,5,9.83,1:59.06,4,9.38,1:58.70,1,9.54,1:58.36
2,9.66,2:08.10,3,9.63,2:08.19,5,10.08,2:09.14,4,9.61,2:08.31,1,9.64,2:08.00
2,9.73,2:17.825,3,9.75,2:17.940,5,10.71,2:19.847,4,9.80,2:18.107,1,9.77,2:17.768
