Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,6.87,6.87,1,6.83,6.83,3,6.91,6.91,5,7.04,7.04,4,6.97,6.97
3,8.74,15.62,2,8.78,15.61,1,8.64,15.56,5,9.07,16.12,4,8.98,15.95
1,8.35,23.97,3,8.41,24.02,2,8.41,23.97,5,8.25,24.37,4,8.12,24.08
1,8.54,32.51,3,8.83,32.86,5,9.07,33.05,4,8.60,32.98,2,8.59,32.67
1,8.68,41.188,3,9.49,42.348,0,,DQ,2,8.90,41.880,4,41.09,1:13.754
