ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
4,12.09,12.09,2,11.76,11.76,5,12.29,12.29,3,11.96,11.96,1,11.61,,6,12.46,12.46
4,12.39,24.48,2,12.49,24.25,5,12.35,24.64,3,12.42,24.38,1,12.33,,6,12.28,24.74
4,10.81,35.29,2,10.83,35.08,5,10.80,35.44,3,10.83,35.21,1,10.91,,6,10.78,35.52
4,10.63,45.92,2,10.66,45.74,6,10.63,46.07,3,10.64,45.85,1,10.73,,5,10.50,46.02
4,10.73,56.65,2,10.72,56.46,6,10.75,56.82,3,10.72,56.57,1,10.72,,5,10.71,56.73
4,10.64,1:07.29,1,10.59,1:07.05,6,10.69,1:07.51,2,10.54,1:07.11,3,10.84,,5,10.65,1:07.38
5,10.45,1:17.74,3,10.48,1:17.53,6,10.44,1:17.95,1,10.26,1:17.37,2,10.30,,4,10.23,1:17.61
5,9.89,1:27.63,2,9.83,1:27.36,6,10.11,1:28.06,4,10.25,1:27.62,1,9.85,,3,9.87,1:27.48
4,9.44,1:37.07,2,9.49,1:36.85,6,10.33,1:38.39,5,9.61,1:37.23,1,9.39,,3,9.48,1:36.96
4,9.15,1:46.22,2,9.02,1:45.87,6,10.84,1:49.23,5,9.07,1:46.30,1,9.07,,3,9.02,1:45.98
5,9.37,1:55.59,1,8.80,1:54.67,6,11.64,2:00.87,4,9.00,1:55.30,2,9.03,,3,8.90,1:54.88
5,9.82,2:05.41,1,9.01,2:03.68,6,13.09,2:13.96,4,9.13,2:04.43,3,9.07,,2,8.86,2:03.74
5,10.29,2:15.70,1,9.01,2:12.69,6,12.90,2:26.86,4,9.47,2:13.90,3,9.09,,2,9.04,2:12.78
4,10.58,2:26.287,1,9.28,2:21.97,5,12.17,2:39.035,4,10.31,2:24.21,3,9.15,,2,9.27,2:22.05
