Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
2,9.340,9.340,1,9.260,9.260,4,9.740,9.740,6,9.920,9.920,5,9.840,9.840,3,9.490,9.490
1,12.960,22.310,3,13.130,22.400,4,13.170,22.910,6,13.150,23.070,5,13.070,22.910,2,12.850,22.340
3,10.680,33.000,1,10.360,32.760,4,10.500,33.420,6,10.490,33.560,5,10.600,33.520,2,10.640,32.980
3,10.240,43.240,1,10.310,43.070,5,10.130,43.550,4,9.970,43.540,6,10.030,43.550,2,10.190,43.170
2,10.500,53.740,1,10.570,53.640,4,10.540,54.090,5,10.760,54.300,6,10.800,54.350,3,10.600,53.780
3,10.850,1:04.590,1,10.820,1:04.470,6,11.540,1:05.640,4,10.640,1:04.950,5,10.600,1:04.960,2,10.800,1:04.580
2,10.090,1:14.690,1,10.050,1:14.520,4,9.180,1:14.820,6,10.070,1:15.020,5,9.990,1:14.960,3,10.100,1:14.690
3,9.890,1:24.580,1,9.850,1:24.370,6,10.100,1:24.920,4,9.580,1:24.610,5,9.730,1:24.690,2,9.730,1:24.430
5,9.980,1:34.560,2,9.780,1:34.150,6,9.900,1:34.830,3,9.770,1:34.390,4,9.790,1:34.490,1,9.680,1:34.110
4,9.560,1:44.120,1,9.500,1:43.660,5,9.530,1:44.370,3,9.480,1:43.870,2,9.350,1:43.850,6,11.010,1:45.120
5,9.200,1:53.330,2,9.450,1:53.110,6,9.170,1:53.540,3,9.260,1:53.140,4,9.330,1:53.180,1,7.840,1:52.960
5,9.280,2:02.610,2,9.270,2:02.390,6,9.080,2:02.620,4,9.360,2:02.500,3,9.240,2:02.430,1,9.270,2:02.240
6,9.500,2:12.110,2,9.350,2:11.740,5,9.350,2:11.980,4,9.340,2:11.850,3,9.340,2:11.780,1,9.420,2:11.660
6,10.600,2:22.720,1,8.980,2:20.720,5,9.240,2:21.220,4,9.320,2:21.170,2,9.220,2:21.000,3,9.370,2:21.040
