Polona PEUNIK POSITION,Polona PEUNIK LAP TIME,Polona PEUNIK ELAPSED TIME,Yuko KOYA POSITION,Yuko KOYA LAP TIME,Yuko KOYA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Natalia DMITRIEVA POSITION,Natalia DMITRIEVA LAP TIME,Natalia DMITRIEVA ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Anouk LEBLANC-BOUCHER POSITION,Anouk LEBLANC-BOUCHER LAP TIME,Anouk LEBLANC-BOUCHER ELAPSED TIME
3,9.279,9.279,1,9.147,9.147,4,9.363,9.363,5,9.739,9.739,6,9.862,9.862,2,9.235,9.235
5,13.681,22.959,3,13.501,22.648,4,13.460,22.823,1,12.414,22.153,6,13.174,23.035,2,13.317,22.552
4,12.155,35.114,3,12.273,34.920,5,12.333,35.155,2,12.604,34.757,6,12.444,35.479,1,12.204,34.755
6,12.544,47.657,3,12.546,47.466,2,12.310,47.465,5,12.760,47.516,4,11.999,47.478,1,12.544,47.298
6,10.915,58.572,5,10.982,58.447,2,10.719,58.184,4,10.889,58.405,1,10.673,58.151,3,10.999,58.297
5,10.698,1:09.269,2,10.570,1:09.017,3,10.858,1:09.041,6,10.905,1:09.309,1,10.633,1:08.783,4,10.788,1:09.084
6,11.402,1:20.670,2,10.987,1:20.003,4,11.028,1:20.068,3,10.742,1:20.051,1,10.965,1:19.748,5,11.178,1:20.262
6,11.016,1:31.686,3,10.713,1:30.716,4,10.744,1:30.812,5,11.259,1:31.310,2,10.764,1:30.512,1,10.219,1:30.481
6,12.508,1:44.194,4,10.389,1:41.104,3,10.237,1:41.049,5,10.008,1:41.317,2,10.374,1:40.885,1,10.320,1:40.800
6,12.361,1:56.554,5,10.387,1:51.491,3,10.362,1:51.410,4,10.136,1:51.453,2,10.277,1:51.162,1,10.217,1:51.017
6,12.562,2:09.115,4,10.211,2:01.702,2,10.032,2:01.442,5,10.930,2:02.383,3,10.347,2:01.509,1,10.321,2:01.337
6,13.084,2:22.199,4,10.187,2:11.889,3,10.095,2:11.537,5,11.142,2:13.524,1,9.746,2:11.255,2,10.108,2:11.445
6,12.900,2:35.098,4,10.320,2:22.208,1,10.009,2:21.545,5,9.638,2:23.161,2,10.335,2:21.589,3,10.460,2:21.905
6,13.75,2:48.846,3,10.92,2:33.124,1,10.36,2:31.897,5,16.26,2:39.412,2,10.91,2:32.490,4,11.97,2:33.868
