Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Vera KATSOV POSITION,Vera KATSOV LAP TIME,Vera KATSOV ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
1,13.78,13.78,3,14.09,14.09,2,13.80,13.80
2,11.38,25.17,3,11.30,25.39,1,11.35,25.16
2,11.13,36.30,3,11.13,36.52,1,11.10,36.26
1,11.16,47.46,3,11.17,47.70,2,11.24,47.50
1,10.96,58.43,3,10.94,58.64,2,10.96,58.47
2,10.35,1:08.79,3,10.53,1:09.17,1,10.27,1:08.74
2,9.98,1:18.77,3,10.47,1:19.65,1,9.98,1:18.72
2,9.85,1:28.62,3,10.97,1:30.62,1,9.84,1:28.57
1,9.77,1:38.385,3,11.24,1:41.859,2,10.01,1:38.572
