NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,de CLEMENTE Clayton POSITION,de CLEMENTE Clayton LAP TIME,de CLEMENTE Clayton ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
1,6.99,6.99,2,7.08,7.08,5,7.53,7.53,4,7.30,7.30,3,7.21,7.21
1,8.93,15.92,2,9.00,16.08,5,9.04,16.57,4,9.08,16.38,3,9.04,16.25
2,8.56,24.48,1,8.36,24.44,5,8.73,25.30,4,8.62,25.00,3,8.65,24.90
2,8.67,33.15,1,8.63,33.07,5,8.89,34.19,4,8.78,33.78,3,8.79,33.69
2,8.75,41.90,1,8.74,41.81,5,9.04,43.23,4,9.04,42.82,3,9.04,42.73
