Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
5,10.60,10.60,3,10.28,10.28,6,10.77,10.77,1,9.98,9.98,7,10.92,10.92,4,10.42,10.42,2,10.19,10.19
5,12.54,23.14,3,12.59,22.87,6,12.52,23.29,1,12.58,22.56,7,12.50,23.42,4,12.57,22.99,2,12.58,22.77
7,11.44,34.58,3,11.48,34.35,6,11.25,34.54,1,11.56,34.12,4,10.95,34.37,5,11.46,34.45,2,11.48,34.25
7,10.57,45.15,4,10.49,44.84,1,9.97,44.51,5,10.76,44.88,3,10.41,44.78,6,10.52,44.97,2,10.43,44.68
4,10.28,55.43,5,10.68,55.52,1,10.63,55.14,7,10.72,55.60,2,10.44,55.22,6,10.59,55.56,3,10.59,55.27
4,10.43,1:05.86,7,10.58,1:06.10,1,10.45,1:05.59,6,10.49,1:06.09,2,10.39,1:05.61,5,10.39,1:05.95,3,10.39,1:05.66
4,9.90,1:15.76,5,9.76,1:15.86,1,9.84,1:15.43,7,10.46,1:16.55,3,10.03,1:15.64,6,10.00,1:15.95,2,9.90,1:15.56
4,9.94,1:25.70,5,9.94,1:25.80,1,9.94,1:25.37,7,10.27,1:26.82,2,9.81,1:25.45,6,9.97,1:25.92,3,10.04,1:25.60
5,9.74,1:35.44,4,9.61,1:35.41,2,9.65,1:35.02,7,10.33,1:37.15,1,9.56,1:35.01,6,9.65,1:35.57,3,9.69,1:35.29
4,9.24,1:44.68,5,9.38,1:44.79,2,9.35,1:44.37,7,10.64,1:47.79,1,9.35,1:44.36,6,9.65,1:45.22,3,9.27,1:44.56
4,9.19,1:53.87,5,9.16,1:53.95,1,9.22,1:53.59,7,10.90,1:58.69,2,9.30,1:53.66,6,9.95,1:55.17,3,9.22,1:53.78
4,9.20,2:03.07,5,9.22,2:03.17,3,9.23,2:02.82,7,11.98,2:10.67,1,9.01,2:02.67,6,10.58,2:05.75,2,9.01,2:02.79
4,9.22,2:12.29,5,9.20,2:12.37,3,9.27,2:12.09,7,12.65,2:23.32,1,9.04,2:11.71,6,11.15,2:16.90,2,9.04,2:11.83
4,9.53,2:21.82,5,9.81,2:22.18,3,9.56,2:21.65,7,11.76,2:35.08,1,9.23,2:20.94,6,11.75,2:28.65,2,9.23,2:21.06
