Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME,Rachel STEWART POSITION,Rachel STEWART LAP TIME,Rachel STEWART ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Monika HELLER POSITION,Monika HELLER LAP TIME,Monika HELLER ELAPSED TIME,Fumi KITABUKI POSITION,Fumi KITABUKI LAP TIME,Fumi KITABUKI ELAPSED TIME
4,15.57,15.57,1,15.15,15.15,2,15.29,15.29,5,15.73,15.73,3,15.40,15.40
4,9.65,25.22,1,9.76,24.91,2,9.75,25.04,5,9.57,25.30,3,9.74,25.14
4,10.56,35.78,1,10.56,35.47,2,10.58,35.62,5,10.57,35.87,3,10.56,35.70
4,10.52,46.30,1,10.46,45.93,2,10.40,46.02,5,10.59,46.46,3,10.45,46.15
4,10.35,56.65,1,10.26,56.19,2,10.28,56.30,5,10.25,56.71,3,10.23,56.38
4,10.95,1:07.60,1,10.46,1:06.65,2,10.47,1:06.77,5,11.06,1:07.77,3,10.47,1:06.85
4,11.53,1:19.13,1,10.46,1:17.11,2,10.49,1:17.26,5,11.47,1:19.24,3,10.50,1:17.35
5,11.69,1:30.82,2,10.43,1:27.54,1,10.01,1:27.27,4,11.36,1:30.60,3,10.25,1:27.60
5,11.64,1:42.457,3,10.90,1:38.438,1,9.70,1:36.962,4,11.69,1:42.281,2,9.85,1:37.448
