van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
3,11.88,11.88,6,12.17,12.17,1,11.73,11.73,5,12.03,12.03,7,12.32,12.32,2,11.79,11.79,4,12.00,12.00
4,17.32,29.20,6,17.31,29.48,2,17.31,29.04,1,16.89,28.92,7,17.32,29.64,2,17.25,29.04,5,17.32,29.32
4,17.19,46.39,6,17.13,46.61,3,17.17,46.21,2,17.16,46.08,7,17.15,46.79,1,16.88,45.92,5,17.23,46.55
5,16.04,1:02.43,6,15.96,1:02.57,4,16.05,1:02.26,2,16.00,1:02.08,7,15.90,1:02.69,1,15.96,1:01.88,3,15.66,1:02.21
6,13.68,1:16.11,3,13.26,1:15.83,5,13.73,1:15.99,4,13.79,1:15.87,7,13.51,1:16.20,1,13.75,1:15.63,2,13.50,1:15.71
7,13.14,1:29.25,3,13.05,1:28.88,6,13.12,1:29.11,5,13.11,1:28.98,4,12.70,1:28.90,2,13.12,1:28.75,1,12.92,1:28.63
7,10.56,1:39.81,4,10.53,1:39.41,6,10.57,1:39.68,5,10.57,1:39.55,1,10.07,1:38.97,3,10.50,1:39.25,2,10.47,1:39.10
5,9.40,1:49.21,3,9.70,1:49.11,2,9.40,1:49.08,7,9.80,1:49.35,1,10.04,1:49.01,6,10.04,1:49.29,4,10.10,1:49.20
2,9.39,1:58.60,3,9.58,1:58.69,1,9.40,1:58.48,7,9.62,1:58.97,4,9.76,1:58.77,6,9.65,1:58.94,5,9.64,1:58.84
2,9.76,2:08.36,3,9.72,2:08.41,1,9.78,2:08.26,4,9.45,2:08.42,5,9.80,2:08.57,7,9.81,2:08.75,6,9.82,2:08.66
3,9.57,2:17.93,4,9.59,2:18.00,1,9.45,2:17.71,2,9.37,2:17.79,5,9.57,2:18.14,7,9.54,2:18.29,6,9.53,2:18.19
3,9.46,2:27.39,4,9.44,2:27.44,1,9.43,2:27.14,2,9.37,2:27.16,7,9.74,2:27.88,6,9.51,2:27.80,5,9.38,2:27.57
6,9.91,2:37.30,3,9.69,2:37.13,1,9.42,2:36.56,2,9.62,2:36.78,7,10.20,2:38.08,5,9.48,2:37.28,3,9.56,2:37.13
6,10.13,2:47.438,5,9.70,2:46.83,1,9.55,2:46.11,4,9.93,2:46.71,7,10.53,2:48.612,3,9.40,2:46.68,2,9.32,2:46.45
