BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,ROMANIA POSITION,ROMANIA LAP TIME,ROMANIA ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME
4,13.20,13.20,3,12.74,12.74,1,12.40,12.40,2,12.70,12.70
4,9.63,22.83,3,9.24,21.98,1,9.00,21.40,2,9.24,21.94
4,9.67,32.50,3,9.27,31.25,1,9.17,30.57,2,9.13,31.07
4,10.27,42.77,3,9.39,40.64,1,9.22,39.79,2,9.07,40.14
4,9.51,52.28,3,8.93,49.57,1,8.94,48.73,2,8.99,49.13
4,10.12,1:02.40,3,10.73,1:00.30,1,9.00,57.73,2,9.27,58.40
4,10.18,1:12.58,3,9.70,1:10.00,1,9.17,1:06.90,2,9.20,1:07.60
4,9.41,1:21.99,3,8.52,1:18.52,1,9.19,1:16.09,2,9.13,1:16.73
4,9.78,1:31.77,3,9.80,1:28.32,1,9.27,1:25.36,2,9.08,1:25.81
4,10.43,1:42.20,3,9.89,1:38.21,1,9.26,1:34.62,2,9.16,1:34.97
4,10.37,1:52.57,3,9.10,1:47.31,1,9.01,1:43.63,2,9.25,1:44.22
4,9.62,2:02.19,3,10.02,1:57.33,1,8.90,1:52.53,2,9.38,1:53.60
4,10.23,2:12.42,3,9.47,2:06.80,1,9.07,2:01.60,2,9.36,2:02.96
4,9.79,2:22.21,3,9.38,2:16.18,1,9.31,2:10.91,2,8.97,2:11.93
4,9.86,2:32.07,3,10.13,2:26.31,1,9.47,2:20.38,2,9.64,2:21.57
4,10.00,2:42.07,3,9.88,2:36.19,1,9.34,2:29.72,2,9.31,2:30.88
4,10.02,2:52.09,3,9.95,2:46.14,1,8.88,2:38.60,2,7.80,2:38.68
4,10.30,3:02.39,3,9.83,2:55.97,1,9.45,2:48.05,2,10.90,2:49.58
4,10.35,3:12.74,3,9.60,3:05.57,1,9.10,2:57.15,2,9.79,2:59.37
4,10.09,3:22.83,3,10.71,3:16.28,2,13.58,3:10.73,1,8.86,3:08.23
4,10.08,3:32.91,3,9.08,3:25.36,2,9.51,3:20.24,1,9.70,3:17.93
4,10.20,3:43.11,3,10.04,3:35.40,2,9.07,3:29.31,1,9.48,3:27.41
4,10.11,3:53.22,3,10.12,3:45.52,2,8.98,3:38.29,1,9.63,3:37.04
4,10.50,4:03.72,3,9.92,3:55.44,2,9.00,3:47.29,1,9.76,3:46.80
4,10.43,4:14.15,3,9.69,4:05.13,2,9.12,3:56.41,1,9.51,3:56.31
4,10.26,4:24.41,3,10.07,4:15.20,1,9.39,4:05.80,2,9.68,4:05.99
3,10.06,4:34.463,2,10.57,4:25.765,0,,PEN,1,10.18,4:16.162
