SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,6.998,6.998,3,7.211,7.211,1,6.816,6.816,4,7.237,7.237,5,7.305,7.305
2,9.025,16.022,4,9.197,16.408,1,9.010,15.825,5,9.249,16.486,3,8.818,16.123
1,8.456,24.478,4,8.516,24.924,2,8.729,24.555,5,8.508,24.994,3,8.575,24.698
1,8.634,33.112,3,8.811,33.735,2,8.784,33.339,5,37.375,1:02.369,4,9.185,33.883
1,8.986,42.098,3,9.121,42.856,2,9.064,42.403,5,25.382,1:27.751,4,8.990,42.873
