CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
1,12.180,12.180,2,12.521,12.521,3,12.898,12.898
1,9.537,21.716,2,9.486,22.006,3,9.588,22.485
1,9.567,31.283,2,9.552,31.558,3,9.583,32.068
1,9.482,40.764,2,9.640,41.197,3,9.369,41.437
2,10.047,50.811,3,9.771,50.967,1,9.311,50.747
1,9.278,1:00.088,2,9.559,1:00.526,3,9.786,1:00.533
1,9.594,1:09.682,2,9.485,1:10.011,3,9.812,1:10.345
1,9.534,1:19.215,2,9.471,1:19.481,3,9.667,1:20.011
1,9.615,1:28.829,2,9.589,1:29.070,3,9.952,1:29.963
1,9.413,1:38.242,2,9.640,1:38.709,3,9.792,1:39.754
1,9.781,1:48.022,2,9.849,1:48.557,3,9.584,1:49.338
1,9.721,1:57.743,2,9.553,1:58.110,3,9.975,1:59.313
1,9.579,2:07.321,2,9.615,2:07.725,3,9.737,2:09.050
1,9.649,2:16.969,2,9.556,2:17.281,3,10.006,2:19.055
1,9.771,2:26.740,2,9.768,2:27.049,3,9.651,2:28.706
1,9.547,2:36.287,2,10.052,2:37.100,3,10.250,2:38.955
1,9.935,2:46.221,2,9.935,2:47.035,3,9.875,2:48.830
1,9.915,2:56.135,2,9.888,2:56.923,3,10.447,2:59.277
1,9.894,3:06.028,2,9.776,3:06.698,3,10.138,3:09.414
1,9.806,3:15.834,2,9.688,3:16.386,3,10.160,3:19.574
1,9.978,3:25.812,2,9.896,3:26.281,3,10.195,3:29.769
1,9.931,3:35.742,2,10.087,3:36.368,3,10.699,3:40.467
1,10.093,3:45.835,2,9.950,3:46.318,3,10.015,3:50.481
1,10.380,3:56.214,2,10.022,3:56.340,3,10.619,4:01.100
1,9.979,4:06.192,2,10.026,4:06.365,3,10.736,4:11.836
1,9.948,4:16.140,2,9.885,4:16.249,3,9.994,4:21.830
1,10.44,4:26.576,2,10.38,4:26.628,3,10.34,4:32.170
