Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME
2,9.06,9.06,4,9.47,9.47,3,9.17,9.17,1,9.04,9.04,5,9.62,9.62
1,13.16,22.22,4,13.15,22.62,2,13.13,22.30,3,13.38,22.42,5,13.13,22.75
1,12.60,34.82,4,12.65,35.27,2,12.64,34.94,3,12.67,35.09,5,12.68,35.43
1,12.42,47.24,4,12.33,47.60,2,12.41,47.35,3,12.37,47.46,5,12.28,47.71
1,12.62,59.86,4,12.74,1:00.34,2,12.63,59.98,3,12.69,1:00.15,5,12.77,1:00.48
1,11.94,1:11.80,4,11.80,1:12.14,2,11.92,1:11.90,3,11.86,1:12.01,5,11.76,1:12.24
1,11.18,1:22.98,4,11.16,1:23.30,2,11.16,1:23.06,3,11.13,1:23.14,5,11.20,1:23.44
3,10.33,1:33.31,4,10.27,1:33.57,2,10.23,1:33.29,1,10.14,1:33.28,5,10.20,1:33.64
3,10.07,1:43.38,4,9.92,1:43.49,2,9.93,1:43.22,1,9.81,1:43.09,5,9.96,1:43.60
3,10.08,1:53.46,4,10.12,1:53.61,2,10.12,1:53.34,1,10.15,1:53.24,5,10.07,1:53.67
3,10.11,2:03.57,4,10.11,2:03.72,2,10.09,2:03.43,1,10.06,2:03.30,5,10.16,2:03.83
4,10.11,2:13.68,3,9.94,2:13.66,2,10.13,2:13.56,1,10.06,2:13.36,5,9.98,2:13.81
5,10.56,2:24.24,2,9.58,2:23.24,3,9.87,2:23.43,1,9.56,2:22.92,4,9.99,2:23.80
5,11.01,2:35.247,1,9.57,2:32.809,3,10.45,2:33.873,2,10.69,2:33.610,4,10.21,2:34.004
