Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
3,10.50,10.50,4,10.66,10.66,5,10.82,10.82,2,10.37,10.37,1,10.22,10.22
3,13.41,23.91,4,13.37,24.03,5,13.36,24.18,2,13.31,23.68,1,13.35,23.57
3,12.13,36.04,4,12.10,36.13,5,12.06,36.24,2,12.13,35.81,1,12.07,35.64
3,11.40,47.44,4,11.42,47.55,5,11.43,47.67,2,11.39,47.20,1,11.45,47.09
3,10.98,58.42,4,11.00,58.55,5,11.02,58.69,2,10.94,58.14,1,10.94,58.03
3,10.38,1:08.80,4,10.34,1:08.89,5,10.32,1:09.01,2,10.44,1:08.58,1,10.42,1:08.45
3,10.04,1:18.84,4,10.03,1:18.92,5,10.05,1:19.06,2,10.07,1:18.65,1,10.10,1:18.55
3,9.70,1:28.54,4,9.76,1:28.68,5,9.80,1:28.86,2,9.67,1:28.32,1,9.68,1:28.23
3,9.24,1:37.78,4,9.18,1:37.86,5,9.51,1:38.37,2,9.30,1:37.62,1,9.29,1:37.52
3,9.13,1:46.91,4,9.18,1:47.04,5,9.94,1:48.31,2,9.17,1:46.79,1,9.17,1:46.69
2,8.95,1:55.86,3,8.97,1:56.01,5,10.58,1:58.89,4,9.30,1:56.09,1,9.05,1:55.74
1,8.95,2:04.81,3,9.01,2:05.02,5,11.57,2:10.46,4,9.40,2:05.49,2,9.19,2:04.93
1,9.21,2:14.02,2,9.09,2:14.11,5,12.26,2:22.72,4,9.67,2:15.16,3,9.34,2:14.27
1,9.40,2:23.42,2,9.45,2:23.56,5,12.91,2:35.639,4,10.06,2:25.228,3,9.50,2:23.77
