Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME
3,13.45,13.45,2,13.33,13.33,5,13.77,,1,13.19,13.19,4,13.59,13.59
3,10.42,23.87,2,10.42,23.75,5,10.38,,1,10.46,23.65,4,10.33,23.92
3,9.95,33.82,2,9.95,33.70,5,10.03,,1,9.88,33.53,4,10.06,33.98
3,9.68,43.50,2,9.69,43.39,5,9.49,,1,9.70,43.23,4,9.61,43.59
3,9.66,53.16,2,9.62,53.01,4,9.62,,1,9.65,52.88,5,9.78,53.37
3,9.55,1:02.71,2,9.60,1:02.61,5,9.74,,1,9.61,1:02.49,4,9.46,1:02.83
3,9.72,1:12.43,2,9.78,1:12.39,5,9.66,,1,9.77,1:12.26,4,9.72,1:12.55
1,9.34,1:21.77,4,9.84,1:22.23,5,9.69,,2,9.74,1:22.00,3,9.51,1:22.06
1,9.36,1:31.13,4,9.90,1:32.117,5,10.02,,2,9.75,1:31.75,3,9.78,1:31.84
