Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Emily ROSEMOND POSITION,Emily ROSEMOND LAP TIME,Emily ROSEMOND ELAPSED TIME,Kim de DAPPER POSITION,Kim de DAPPER LAP TIME,Kim de DAPPER ELAPSED TIME,Elena YAKUSCHENKO POSITION,Elena YAKUSCHENKO LAP TIME,Elena YAKUSCHENKO ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
2,14.958,14.958,3,14.969,14.969,1,14.915,14.915,4,14.985,14.985,5,15.453,15.453
1,11.885,26.843,3,12.048,27.017,2,11.960,26.875,4,12.137,27.122,5,11.684,27.137
1,10.071,36.914,3,10.214,37.230,2,10.323,37.197,5,10.174,37.295,4,10.126,37.262
1,9.951,46.864,4,9.908,47.137,5,10.055,47.252,3,9.762,47.057,2,9.762,47.023
1,9.969,56.832,3,9.858,56.995,5,9.928,57.180,4,9.956,57.013,2,9.870,56.893
1,10.180,1:07.012,3,10.264,1:07.258,5,10.232,1:07.411,4,10.264,1:07.276,2,10.282,1:07.175
1,10.061,1:17.073,3,10.090,1:17.347,4,10.070,1:17.481,5,10.292,1:17.567,2,9.925,1:17.100
2,9.952,1:27.025,3,9.837,1:27.183,4,9.888,1:27.369,5,10.221,1:27.788,1,9.870,1:26.970
2,10.08,1:37.100,3,10.08,1:37.255,4,10.40,1:37.760,5,10.90,1:38.688,1,10.03,1:36.996
