Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME
2,7.26,7.26,3,7.48,7.48,1,7.13,7.13,4,7.63,7.63,5,7.78,7.78
2,9.41,16.67,3,9.35,16.83,1,9.48,16.61,4,9.40,17.03,5,9.60,17.38
2,9.30,25.97,3,9.22,26.05,1,9.27,25.88,4,9.14,26.17,5,9.22,26.60
1,9.18,35.15,2,9.23,35.28,3,9.41,35.29,4,9.24,35.41,5,9.27,35.87
1,9.06,44.210,2,9.26,44.538,3,9.41,44.691,4,9.38,44.783,5,9.46,45.322
