SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Angeline Hui Theng CHAN POSITION,Angeline Hui Theng CHAN LAP TIME,Angeline Hui Theng CHAN ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Iulia KROMIDO POSITION,Iulia KROMIDO LAP TIME,Iulia KROMIDO ELAPSED TIME,Elisabeth WITT POSITION,Elisabeth WITT LAP TIME,Elisabeth WITT ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME
3,10.69,10.69,6,11.35,11.35,5,11.08,11.08,4,10.83,10.83,2,10.56,10.56,1,10.50,10.50
3,16.92,27.61,6,16.74,28.09,5,16.83,27.91,4,16.89,27.72,2,16.88,27.44,1,16.77,27.27
3,15.88,43.49,6,15.96,44.05,5,15.92,43.83,4,15.88,43.60,2,15.91,43.35,1,15.93,43.20
3,15.33,58.82,6,15.23,59.28,5,15.32,59.15,4,15.38,58.98,2,15.30,58.65,1,15.30,58.50
2,14.77,1:13.59,5,14.91,1:14.19,4,14.76,1:13.91,6,22.48,1:21.46,1,14.62,1:13.27,3,15.20,1:13.70
2,13.42,1:27.01,5,14.05,1:28.24,4,13.49,1:27.40,6,11.96,1:33.42,1,13.64,1:26.91,3,13.47,1:27.17
2,13.77,1:40.78,5,14.58,1:42.82,4,13.77,1:41.17,6,11.44,1:44.86,1,13.74,1:40.65,3,13.77,1:40.94
2,13.46,1:54.24,6,15.00,1:57.82,4,13.45,1:54.62,5,11.61,1:56.47,1,13.49,1:54.14,3,13.46,1:54.40
2,12.81,2:07.05,6,15.77,2:13.59,4,12.86,2:07.48,5,11.54,2:08.01,1,12.78,2:06.92,3,12.70,2:07.10
3,10.97,2:18.02,6,17.68,2:31.27,2,10.52,2:18.00,5,11.55,2:19.56,1,10.99,2:17.91,4,11.06,2:18.16
3,10.59,2:28.61,6,18.50,2:49.77,1,9.54,2:27.54,5,12.10,2:31.66,2,10.59,2:28.50,4,10.63,2:28.79
3,10.47,2:39.08,6,17.64,3:07.41,1,10.23,2:37.77,5,12.71,2:44.37,2,10.48,2:38.98,4,10.45,2:39.24
3,10.56,2:49.64,6,17.49,3:24.90,1,10.56,2:48.33,5,13.64,2:58.01,2,10.56,2:49.54,4,10.65,2:49.89
3,10.68,3:00.312,6,17.08,3:41.971,1,10.77,2:59.095,5,13.59,3:11.595,2,10.62,3:00.152,4,10.79,3:00.674
