LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,6.60,,2,6.77,6.77,3,6.91,6.91,4,7.06,,5,7.24,7.24
1,8.63,,1,8.46,15.23,3,8.53,15.44,4,8.39,,5,8.47,15.71
5,31.39,,1,8.25,23.48,2,8.30,23.74,4,23.09,,3,8.24,23.95
5,14.68,,1,8.28,31.76,2,8.34,32.08,4,20.22,,3,8.38,32.33
5,19.37,1:20.67,1,8.47,40.23,2,8.55,40.63,4,11.41,,3,8.34,40.67
