Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
1,6.81,6.81,2,6.96,6.96,3,7.10,7.10,4,7.25,7.25
1,8.89,15.70,2,8.89,15.85,3,8.86,15.96,4,8.97,16.22
1,8.49,24.19,2,8.47,24.32,3,8.47,24.43,4,8.57,24.79
2,8.78,32.97,1,8.63,32.95,3,8.63,33.06,4,9.06,33.85
2,9.03,41.989,1,9.00,41.95,3,9.07,42.120,4,10.01,43.834
