KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,ROBERTS Isabelle POSITION,ROBERTS Isabelle LAP TIME,ROBERTS Isabelle ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
2,15.24,15.24,1,15.14,15.14,3,15.35,15.35,6,15.49,15.49,5,15.45,15.45,3,15.35,15.35
3,11.42,26.66,2,11.41,26.55,4,11.43,26.78,1,10.87,26.36,6,11.59,27.04,5,11.55,26.90
2,10.19,36.85,3,10.42,36.97,4,10.29,37.07,1,10.38,36.74,6,10.21,37.25,5,10.25,37.15
2,9.96,46.81,3,9.92,46.89,4,9.90,46.97,1,9.94,46.68,6,9.93,47.18,5,9.91,47.06
2,9.84,56.65,3,9.84,56.73,4,9.85,56.82,1,9.87,56.55,6,9.84,57.02,5,9.85,56.91
1,9.67,1:06.32,3,9.72,1:06.45,4,9.73,1:06.55,2,9.79,1:06.34,6,9.78,1:06.80,5,9.78,1:06.69
1,9.44,1:15.76,2,9.43,1:15.88,3,9.58,1:16.13,4,9.82,1:16.16,6,9.74,1:16.54,5,9.75,1:16.44
1,9.49,1:25.25,2,9.47,1:25.35,3,9.35,1:25.48,4,9.87,1:26.03,6,10.00,1:26.54,5,10.03,1:26.47
1,9.56,1:34.81,2,9.51,1:34.86,3,9.40,1:34.888,4,10.15,1:36.181,6,10.50,1:37.049,5,10.48,1:36.956
