Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
3,12.652,12.652,2,12.465,12.465,4,12.778,12.778,1,12.224,12.224
3,9.894,22.546,2,10.026,22.490,4,9.919,22.697,1,10.191,22.415
4,9.882,32.427,3,9.710,32.199,1,9.315,32.011,2,9.654,32.068
3,9.306,41.733,4,9.619,41.818,2,9.449,41.460,1,9.303,41.370
3,9.425,51.158,2,9.268,51.086,1,9.307,50.767,4,11.240,52.610
4,9.459,1:00.616,3,9.513,1:00.599,1,9.325,1:00.092,2,7.506,1:00.115
3,9.515,1:10.131,4,9.593,1:10.191,1,9.523,1:09.614,2,9.532,1:09.646
4,9.783,1:19.913,3,9.635,1:19.826,1,9.601,1:19.214,2,9.600,1:19.246
3,10.77,1:30.682,0,,DQ,1,9.88,1:29.089,2,9.94,1:29.181
