TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,13.96,13.96,3,14.32,14.32,4,14.48,14.48,2,14.21,14.21,5,14.59,14.59
1,10.43,24.39,3,10.37,24.69,4,10.32,24.80,2,10.37,24.58,5,10.29,24.88
1,10.19,34.58,3,10.09,34.78,5,10.18,34.98,2,10.10,34.68,4,10.01,34.89
2,10.04,44.62,4,10.19,44.97,5,10.00,44.98,1,9.93,44.61,3,9.87,44.76
3,9.90,54.52,5,9.88,54.85,4,9.58,54.56,1,9.72,54.33,2,9.65,54.41
3,9.70,1:04.22,5,9.76,1:04.61,4,9.68,1:04.24,1,9.60,1:03.93,2,9.62,1:04.03
4,9.90,1:14.12,5,10.03,1:14.64,3,9.49,1:13.73,1,9.63,1:13.56,2,9.64,1:13.67
4,10.23,1:24.35,5,10.52,1:25.16,3,9.66,1:23.39,2,9.69,1:23.25,1,9.57,1:23.24
4,10.67,1:35.02,5,11.27,1:36.43,0,9.58,1:32.97,3,9.92,1:33.17,0,9.71,1:32.95
