Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
2,7.30,7.30,1,7.09,7.09,3,7.40,7.40,5,7.73,7.73,4,7.59,7.59
3,9.23,16.53,1,8.98,16.07,2,9.06,16.46,5,9.18,16.91,4,9.05,16.64
4,8.70,25.23,1,8.58,24.65,2,8.45,24.91,5,8.74,25.65,3,8.49,25.13
4,8.57,33.80,1,8.59,33.24,2,8.47,33.38,5,8.84,34.49,3,8.50,33.63
4,8.81,42.605,1,8.78,42.012,2,8.72,42.100,5,9.01,43.492,3,8.57,42.194
