AUSTRALIA POSITION,AUSTRALIA LAP TIME,AUSTRALIA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
1,11.523,11.523,3,11.791,11.791,4,12.259,12.259,2,11.642,11.642
4,9.921,21.444,3,9.518,21.309,2,9.038,21.297,1,9.097,20.739
2,8.770,30.213,3,9.028,30.336,4,9.123,30.419,1,8.882,29.620
4,9.636,39.849,3,9.461,39.796,2,9.257,39.675,1,8.979,38.599
4,9.706,49.554,3,9.554,49.350,2,9.370,49.045,1,8.861,47.460
4,9.291,58.845,3,9.287,58.637,2,9.231,58.275,1,9.084,56.543
3,8.981,1:07.825,4,9.225,1:07.861,2,9.367,1:07.642,1,9.101,1:05.644
4,9.290,1:17.115,3,9.185,1:17.046,2,9.403,1:17.045,1,8.919,1:14.563
4,9.573,1:26.687,3,9.454,1:26.499,2,9.127,1:26.171,1,9.041,1:23.603
4,9.037,1:35.724,2,9.117,1:35.616,3,9.500,1:35.671,1,8.881,1:32.484
4,9.528,1:45.252,3,9.397,1:45.012,2,9.225,1:44.895,1,8.868,1:41.352
4,9.423,1:54.674,3,9.564,1:54.576,2,9.329,1:54.224,1,9.158,1:50.510
4,9.279,2:03.953,3,9.282,2:03.857,2,9.246,2:03.469,1,9.108,1:59.617
4,9.241,2:13.193,3,9.330,2:13.186,2,9.380,2:12.849,1,9.091,2:08.708
4,9.010,2:22.203,3,9.009,2:22.194,2,9.310,2:22.159,1,8.933,2:17.641
2,9.402,2:31.605,3,9.425,2:31.619,4,9.511,2:31.669,1,9.008,2:26.648
3,9.555,2:41.160,4,9.582,2:41.200,2,9.436,2:41.105,1,9.086,2:35.733
4,9.613,2:50.772,3,9.471,2:50.671,2,9.439,2:50.544,1,9.079,2:44.811
4,9.395,3:00.167,3,9.472,3:00.143,2,9.514,3:00.058,1,9.143,2:53.954
4,9.393,3:09.560,2,9.307,3:09.450,3,9.493,3:09.550,1,9.083,3:03.036
4,9.943,3:19.502,3,9.716,3:19.165,2,9.446,3:18.996,1,8.826,3:11.862
4,9.324,3:28.826,3,9.372,3:28.537,2,9.477,3:28.473,1,9.034,3:20.895
4,9.523,3:38.348,3,9.516,3:38.053,2,9.511,3:37.983,1,8.961,3:29.855
4,9.466,3:47.814,3,9.661,3:47.713,2,9.672,3:47.654,1,9.053,3:38.908
2,9.244,3:57.058,4,9.913,3:57.626,3,9.528,3:57.182,1,9.135,3:48.042
2,9.413,4:06.470,3,9.121,4:06.746,4,9.576,4:06.757,1,9.343,3:57.385
2,9.490,4:15.960,4,9.440,4:16.186,3,9.265,4:16.022,1,8.982,4:06.367
3,9.449,4:25.408,4,9.310,4:25.495,2,9.376,4:25.397,1,9.082,4:15.448
3,9.701,4:35.108,2,9.440,4:34.934,4,9.712,4:35.109,1,9.095,4:24.543
3,9.717,4:44.825,2,9.554,4:44.488,4,10.105,4:45.214,1,9.231,4:33.773
3,8.975,4:53.800,2,9.202,4:53.690,4,9.432,4:54.646,1,9.193,4:42.965
3,9.375,5:03.174,2,9.414,5:03.103,4,9.622,5:04.267,1,9.204,4:52.169
3,9.224,5:12.398,2,9.063,5:12.166,4,9.203,5:13.469,1,9.000,5:01.168
3,9.684,5:22.081,2,9.544,5:21.709,4,9.437,5:22.906,1,9.199,5:10.367
3,9.984,5:32.064,2,9.499,5:31.208,4,9.546,5:32.452,1,9.332,5:19.699
3,9.793,5:41.857,2,9.624,5:40.831,4,9.605,5:42.056,1,9.287,5:28.985
3,8.985,5:50.842,2,9.337,5:50.168,4,9.407,5:51.463,1,9.185,5:38.169
3,9.225,6:00.066,2,9.500,5:59.667,4,9.524,6:00.987,1,9.263,5:47.432
3,9.521,6:09.586,2,9.182,6:08.848,4,9.302,6:10.288,1,9.489,5:56.920
3,9.607,6:19.193,2,9.456,6:18.304,4,9.359,6:19.647,1,9.483,6:06.403
3,10.031,6:29.223,2,9.711,6:28.015,4,15.680,6:35.326,1,9.357,6:15.760
3,9.798,6:39.021,2,9.871,6:37.885,4,11.891,6:47.217,1,9.411,6:25.171
3,8.884,6:47.904,2,9.797,6:47.681,4,10.026,6:57.243,1,9.671,6:34.841
3,9.815,6:57.718,2,9.215,6:56.896,4,9.751,7:06.993,1,9.606,6:44.446
3,9.97,7:07.687,2,9.94,7:06.830,4,9.79,7:16.782,1,9.77,6:54.216
