SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
4,12.68,12.68,3,12.55,12.55,2,12.20,12.20,1,12.18,12.18
4,9.59,22.27,3,9.57,22.13,1,9.57,21.78,2,9.66,21.85
4,9.23,31.50,3,9.23,31.36,1,9.06,30.85,2,9.28,31.13
4,9.17,40.68,3,9.25,40.61,1,9.41,40.26,2,9.42,40.56
4,9.18,49.86,3,9.17,49.79,1,9.09,49.35,2,9.00,49.57
3,9.28,59.14,4,9.43,59.22,1,9.27,58.62,2,9.19,58.76
3,9.06,1:08.20,4,9.09,1:08.32,1,9.02,1:07.64,2,9.15,1:07.91
3,9.30,1:17.51,4,9.29,1:17.62,1,9.26,1:16.90,2,9.33,1:17.25
2,9.24,1:26.748,4,9.54,1:27.157,1,9.78,1:26.681,3,9.63,1:26.876
