KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
3,7.018,7.018,2,6.993,6.993,1,6.808,6.808,4,7.271,7.271
2,9.018,16.036,0,,,1,9.161,15.969,3,9.029,16.300
1,8.515,24.551,2,,24.611,3,8.809,24.778,4,8.525,24.825
1,8.566,33.116,3,8.817,33.428,4,9.055,33.833,2,8.514,33.338
1,8.812,41.929,3,8.928,42.356,4,9.093,42.926,2,8.675,42.013
