Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME,Lorenzo MORRONE POSITION,Lorenzo MORRONE LAP TIME,Lorenzo MORRONE ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,ZHANG Weizhi POSITION,ZHANG Weizhi LAP TIME,ZHANG Weizhi ELAPSED TIME
1,12.73,12.73,5,13.05,,2,12.81,12.81,4,13.03,13.03,3,12.94,12.94
2,9.74,22.47,4,9.57,,3,9.75,22.56,5,9.60,22.63,1,9.43,22.37
2,9.39,31.86,4,9.46,,3,9.42,31.98,5,10.81,33.44,1,9.38,31.75
2,9.10,40.96,4,9.14,,3,9.09,41.07,5,12.06,45.50,1,9.13,40.88
2,8.99,49.95,4,8.97,,3,9.01,50.08,5,13.13,58.63,1,8.98,49.86
2,8.91,58.86,4,8.91,,3,8.91,58.99,5,11.80,1:10.43,1,8.92,58.78
2,8.98,1:07.84,4,8.93,,3,8.96,1:07.95,5,11.12,1:21.55,1,8.98,1:07.76
2,9.04,1:16.88,4,9.06,,3,9.06,1:17.01,5,11.08,1:32.63,1,9.05,1:16.81
2,9.28,1:26.16,4,9.28,,3,9.20,1:26.21,4,11.42,1:44.058,1,9.24,1:26.05
