Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME
1,14.16,14.16,2,14.34,14.34,3,14.50,14.50,0,,
1,10.84,25.00,4,10.93,25.28,3,10.58,25.09,2,0.00,25.05
3,9.77,34.78,4,9.64,34.92,2,9.49,34.59,1,9.48,34.53
3,9.56,44.34,4,9.46,44.39,2,9.40,44.00,1,9.47,44.00
3,9.67,54.02,4,9.74,54.13,1,9.70,53.70,2,9.90,53.91
3,9.59,1:03.61,4,9.58,1:03.72,1,9.60,1:03.30,2,9.41,1:03.32
4,18.38,1:22.00,3,9.51,1:13.24,1,9.51,1:12.82,2,9.63,1:12.96
4,22.65,1:44.66,3,9.48,1:22.72,2,9.54,1:22.36,1,9.30,1:22.26
3,14.25,1:58.901,1,9.57,1:32.287,0,,DQ,2,10.52,1:32.772
