Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Timur ZAKHAROV POSITION,Timur ZAKHAROV LAP TIME,Timur ZAKHAROV ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME
3,8.41,8.41,2,8.29,8.29,4,8.56,8.56,1,8.12,,7,8.84,8.84,5,8.66,8.66,6,8.77,8.77
3,11.52,19.93,2,11.52,19.81,4,11.49,20.05,1,11.57,,7,11.43,20.27,6,11.46,20.12,5,11.29,20.06
3,11.14,31.07,2,11.17,30.98,5,11.24,31.29,1,11.18,,7,11.24,31.51,6,11.28,31.40,4,11.12,31.18
3,11.04,42.11,2,11.02,42.00,5,11.00,42.29,1,11.01,,7,11.04,42.55,6,11.02,42.42,4,11.03,42.21
3,10.76,52.87,2,10.77,52.77,5,10.76,53.05,1,10.77,,7,10.75,53.30,6,10.77,53.19,4,10.74,52.95
2,10.39,1:03.26,3,10.54,1:03.31,5,10.49,1:03.54,1,10.56,,7,10.50,1:03.80,6,10.45,1:03.64,4,10.48,1:03.43
3,10.06,1:13.32,1,9.88,1:13.19,5,10.00,1:13.54,2,10.05,,7,10.02,1:13.82,6,9.96,1:13.60,4,10.00,1:13.43
2,9.64,1:22.96,1,9.68,1:22.87,6,9.86,1:23.40,3,9.71,,7,9.59,1:23.41,5,9.63,1:23.23,4,9.69,1:23.12
2,9.44,1:32.40,1,9.43,1:32.30,6,9.50,1:32.90,3,9.60,,7,9.75,1:33.16,5,9.48,1:32.71,4,9.54,1:32.66
1,9.36,1:41.76,2,9.47,1:41.77,6,9.30,1:42.20,3,9.36,,7,9.80,1:42.96,5,9.35,1:42.06,4,9.39,1:42.05
1,9.27,1:51.03,2,9.35,1:51.12,6,9.22,1:51.42,4,9.33,,7,10.14,1:53.10,2,9.06,1:51.12,5,9.34,1:51.39
3,9.44,2:00.47,2,9.34,2:00.46,6,9.87,2:01.29,4,9.45,,7,10.58,2:03.68,1,9.02,2:00.14,5,9.59,2:00.98
3,9.68,2:10.15,2,9.45,2:09.91,6,10.17,2:11.46,4,9.57,,7,11.09,2:14.77,1,9.19,2:09.33,5,9.70,2:10.68
5,10.97,2:21.12,2,9.82,2:19.73,6,11.28,2:22.74,4,10.40,,7,11.48,2:26.25,1,9.55,2:18.88,3,9.97,2:20.65
