Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Sergei MARTYNOV POSITION,Sergei MARTYNOV LAP TIME,Sergei MARTYNOV ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
2,6.976,6.976,1,6.955,6.955,3,7.005,7.005,4,7.356,7.356
1,9.251,16.227,3,9.563,16.517,2,9.294,16.299,4,9.241,16.596
2,9.188,25.414,3,8.974,25.490,1,9.047,25.345,4,9.024,25.620
2,9.370,34.784,4,9.370,34.860,1,8.978,34.322,3,9.240,34.859
3,9.48,44.256,4,9.43,44.286,1,9.48,43.793,2,9.30,44.156
