Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME
1,6.77,6.77,3,6.97,6.97,2,6.88,6.88,5,7.40,7.40,4,7.22,7.22
1,9.08,15.85,3,8.99,15.96,2,8.99,15.87,5,9.31,16.71,4,9.06,16.28
2,8.99,24.84,1,8.80,24.76,3,9.12,24.99,5,8.80,25.51,4,8.72,25.00
2,9.07,33.91,1,9.03,33.79,4,9.16,34.15,5,8.83,34.34,3,9.06,34.06
0,,PEN,3,10.05,43.838,0,,PEN,2,9.13,43.466,1,9.33,43.390
