Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,LEFRANCOIS-GAUVREAU Mathieu POSITION,LEFRANCOIS-GAUVREAU Mathieu LAP TIME,LEFRANCOIS-GAUVREAU Mathieu ELAPSED TIME,YOO Ji-Hoon POSITION,YOO Ji-Hoon LAP TIME,YOO Ji-Hoon ELAPSED TIME
5,8.061,8.061,2,7.855,7.855,4,8.020,8.020,3,7.913,7.913,1,7.720,7.720
3,11.591,19.651,1,11.215,19.069,4,11.868,19.888,5,12.009,19.922,2,11.809,19.529
5,11.912,31.563,1,11.356,30.425,4,11.249,31.136,3,11.029,30.950,2,11.095,30.624
4,10.358,41.920,2,11.313,41.738,5,10.954,42.089,3,10.941,41.890,1,11.097,41.720
4,10.276,52.196,1,9.912,51.649,5,10.240,52.329,3,10.265,52.154,2,10.370,52.090
3,10.488,1:02.684,1,10.801,1:02.450,4,10.714,1:03.043,5,11.618,1:03.772,2,10.489,1:02.578
5,17.251,1:19.934,1,10.758,1:13.208,4,10.764,1:13.806,2,9.630,1:13.402,3,11.003,1:13.581
5,9.955,1:29.889,1,10.882,1:24.090,4,10.749,1:24.555,2,10.928,1:24.329,3,10.821,1:24.402
5,10.095,1:39.983,2,10.159,1:34.248,4,10.179,1:34.733,3,10.199,1:34.528,1,9.797,1:34.198
5,10.605,1:50.588,1,10.302,1:44.550,4,10.117,1:44.850,3,10.204,1:44.732,2,10.406,1:44.604
5,10.852,2:01.439,3,9.835,1:54.385,1,9.382,1:54.231,4,9.824,1:54.556,2,9.749,1:54.353
5,12.503,2:13.941,4,9.911,2:04.295,1,9.219,2:03.450,2,9.573,2:04.129,3,9.893,2:04.245
5,11.711,2:25.652,2,9.123,2:13.418,1,9.503,2:12.953,3,9.884,2:14.012,4,10.275,2:14.519
5,12.60,2:38.245,3,10.05,2:23.459,1,10.26,2:23.212,2,9.40,2:23.410,4,11.25,2:25.764
