Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,KIM Un Hyok POSITION,KIM Un Hyok LAP TIME,KIM Un Hyok ELAPSED TIME
1,8.46,8.46,3,8.83,8.83,2,8.69,8.69,4,8.94,8.94,5,9.08,9.08,7,9.52,9.52,6,9.26,
1,11.74,20.20,3,11.62,20.45,2,11.63,20.32,4,11.60,20.54,5,11.57,20.65,7,11.33,20.85,6,11.48,
1,11.68,31.88,3,11.68,32.13,2,11.69,32.01,4,11.67,32.21,5,11.69,32.34,7,11.60,32.45,6,11.64,
2,11.42,43.30,4,11.46,43.59,3,11.45,43.46,5,11.51,43.72,6,11.50,43.84,7,11.56,44.01,1,10.68,
1,11.06,54.36,4,11.01,54.60,3,10.99,54.45,5,10.98,54.70,7,10.96,54.80,6,10.70,54.71,2,11.37,
3,11.15,1:05.51,5,11.10,1:05.70,1,10.96,1:05.41,2,10.79,1:05.49,6,10.91,1:05.71,7,11.10,1:05.81,4,11.17,
4,10.17,1:15.68,6,10.27,1:15.97,3,10.13,1:15.54,2,9.98,1:15.47,1,9.73,1:15.44,7,10.58,1:16.39,5,10.14,
4,9.72,1:25.40,6,9.67,1:25.64,3,9.75,1:25.29,2,9.72,1:25.19,1,9.65,1:25.09,7,11.24,1:27.63,5,9.79,
4,10.05,1:35.45,6,10.04,1:35.68,3,9.99,1:35.28,2,9.96,1:35.15,1,9.96,1:35.05,7,12.42,1:40.05,5,10.04,
4,9.69,1:45.14,6,9.70,1:45.38,3,9.73,1:45.01,2,9.75,1:44.90,1,9.70,1:44.75,7,13.03,1:53.08,5,9.72,
4,9.68,1:54.82,6,9.67,1:55.05,3,9.43,1:54.44,2,9.39,1:54.29,1,9.42,1:54.17,7,14.81,2:07.89,5,9.59,
6,23.58,2:18.40,5,10.12,2:05.17,3,9.33,2:03.77,2,9.30,2:03.59,1,9.41,2:03.58,7,12.17,2:20.06,4,10.04,
7,15.10,2:33.50,5,10.31,2:15.48,2,9.08,2:12.85,1,9.18,2:12.77,3,9.56,2:13.14,6,11.77,2:31.83,4,10.18,
6,13.61,2:47.089,4,10.40,2:25.870,2,9.15,2:21.983,1,9.06,2:21.820,3,9.60,2:22.713,5,13.59,2:45.392,4,10.65,
