CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,AUSTRALIA POSITION,AUSTRALIA LAP TIME,AUSTRALIA ELAPSED TIME
1,11.84,11.84,2,11.98,11.98,3,12.18,12.18,4,12.32,12.32
1,8.83,20.67,2,8.84,20.82,3,8.78,20.96,4,8.87,21.19
1,8.56,29.23,2,8.69,29.51,3,8.68,29.64,4,8.90,30.09
1,8.54,37.77,2,8.71,38.22,3,8.74,38.38,4,9.06,39.15
1,8.92,46.69,2,8.93,47.15,3,8.95,47.33,4,9.72,48.87
1,8.88,55.57,2,8.62,55.77,3,8.73,56.06,4,9.45,58.32
1,8.66,1:04.23,2,8.54,1:04.31,3,8.69,1:04.75,4,9.16,1:07.48
1,8.54,1:12.77,2,8.64,1:12.95,3,8.66,1:13.41,4,8.95,1:16.43
1,8.57,1:21.34,2,8.69,1:21.64,3,8.65,1:22.06,4,9.25,1:25.68
1,8.70,1:30.04,2,8.78,1:30.42,3,8.81,1:30.87,4,9.49,1:35.17
1,8.93,1:38.97,2,8.88,1:39.30,3,8.80,1:39.67,4,9.95,1:45.12
1,8.89,1:47.86,2,8.79,1:48.09,3,8.71,1:48.38,4,9.94,1:55.06
1,8.73,1:56.59,2,8.73,1:56.82,3,8.66,1:57.04,4,9.59,2:04.65
1,8.72,2:05.31,2,8.84,2:05.66,3,8.77,2:05.81,4,10.12,2:14.77
1,8.78,2:14.09,2,8.76,2:14.42,3,8.74,2:14.55,4,9.41,2:24.18
1,8.79,2:22.88,2,8.80,2:23.22,3,8.80,2:23.35,4,9.47,2:33.65
1,9.02,2:31.90,2,8.97,2:32.19,3,9.05,2:32.40,4,10.00,2:43.65
1,8.89,2:40.79,2,8.89,2:41.08,3,8.98,2:41.38,4,10.02,2:53.67
1,8.66,2:49.45,2,8.89,2:49.97,3,8.82,2:50.20,4,9.44,3:03.11
1,8.68,2:58.13,2,8.90,2:58.87,3,8.74,2:58.94,4,9.31,3:12.42
1,8.71,3:06.84,2,8.93,3:07.80,3,8.95,3:07.89,4,9.34,3:21.76
1,8.92,3:15.76,2,8.89,3:16.69,3,8.98,3:16.87,4,9.61,3:31.37
1,9.13,3:24.89,2,9.14,3:25.83,3,9.15,3:26.02,4,10.51,3:41.88
1,9.00,3:33.89,2,9.14,3:34.97,3,9.02,3:35.04,4,11.58,3:53.46
1,8.78,3:42.67,2,8.97,3:43.94,3,9.00,3:44.04,4,10.75,4:04.21
1,8.79,3:51.46,2,9.01,3:52.95,3,8.99,3:53.03,4,9.67,4:13.88
1,9.11,4:00.57,3,9.10,4:02.05,2,8.90,4:01.93,4,9.88,4:23.766
