Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME,Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME
2,9.02,9.02,3,9.03,9.03,5,9.68,9.68,1,8.82,8.82,4,9.43,9.43
4,15.38,24.41,1,15.06,24.10,5,15.13,24.81,2,15.39,24.21,3,14.94,24.37
4,12.05,36.47,1,11.85,35.95,5,11.91,36.73,2,11.86,36.08,3,11.75,36.12
4,12.20,48.67,1,12.44,48.40,5,12.34,49.07,2,12.52,48.60,3,12.48,48.61
5,11.91,1:00.59,2,11.85,1:00.26,1,11.00,1:00.08,3,11.83,1:00.44,4,11.88,1:00.49
5,10.79,1:11.38,1,10.85,1:11.12,4,11.18,1:11.26,3,10.80,1:11.24,2,10.73,1:11.22
1,10.64,1:22.03,2,11.11,1:22.23,5,11.10,1:22.36,4,11.04,1:22.28,3,11.05,1:22.28
2,10.29,1:32.32,1,9.69,1:31.93,5,10.27,1:32.64,4,10.31,1:32.60,3,10.09,1:32.37
2,9.88,1:42.21,1,10.13,1:42.06,5,9.76,1:42.40,4,9.61,1:42.22,3,9.84,1:42.22
3,9.68,1:51.89,2,9.55,1:51.61,5,9.78,1:52.19,1,9.27,1:51.49,4,9.68,1:51.90
3,9.25,2:01.15,2,9.44,2:01.06,5,9.49,2:01.69,1,9.31,2:00.81,4,9.45,2:01.36
1,9.07,2:10.22,3,9.49,2:10.56,5,9.54,2:11.23,2,9.41,2:10.22,4,9.50,2:10.86
1,9.25,2:19.48,2,9.59,2:20.15,5,10.08,2:21.31,3,10.01,2:20.24,4,9.70,2:20.57
1,10.61,2:30.081,2,10.13,2:30.278,5,10.39,2:31.698,3,10.29,2:30.530,4,9.98,2:30.546
