Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,MIN Ryoung POSITION,MIN Ryoung LAP TIME,MIN Ryoung ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME
3,9.789,9.789,1,9.333,9.333,2,9.477,9.477,4,9.801,9.801,5,9.908,9.908,6,10.205,10.205
3,12.327,22.116,1,12.529,21.861,2,12.465,21.942,5,12.402,22.203,4,12.251,22.159,6,12.225,22.429
4,10.945,33.060,2,11.000,32.861,5,11.119,33.060,3,10.756,32.958,1,10.543,32.701,6,10.826,33.255
5,10.663,43.722,3,10.463,43.324,4,10.503,43.562,1,10.108,43.065,2,10.555,43.255,6,10.660,43.915
6,10.575,54.297,3,10.641,53.965,4,10.549,54.111,1,10.658,53.723,2,10.654,53.909,5,10.293,54.207
6,10.500,1:04.797,2,10.419,1:04.383,4,10.545,1:04.655,1,10.612,1:04.334,3,10.489,1:04.397,5,10.510,1:04.717
5,10.049,1:14.845,1,10.045,1:14.428,2,9.886,1:14.541,3,10.244,1:14.578,4,10.313,1:14.710,6,10.138,1:14.854
6,10.217,1:25.061,1,10.105,1:24.532,3,10.065,1:24.605,2,9.996,1:24.573,4,9.987,1:24.697,5,10.110,1:24.963
6,10.411,1:35.472,1,10.331,1:34.863,2,10.348,1:34.952,4,10.588,1:35.161,3,10.264,1:34.960,5,10.308,1:35.271
6,10.593,1:46.064,2,10.355,1:45.218,3,10.473,1:45.425,4,10.556,1:45.717,1,10.235,1:45.195,5,10.476,1:45.746
6,10.424,1:56.488,1,9.919,1:55.137,3,9.749,1:55.174,4,9.635,1:55.351,2,9.954,1:55.148,5,9.904,1:55.650
6,10.529,2:07.016,1,9.711,2:04.848,2,9.681,2:04.855,4,9.678,2:05.029,3,9.739,2:04.887,5,10.326,2:05.976
6,10.954,2:17.970,3,9.809,2:14.657,2,9.791,2:14.645,4,9.710,2:14.738,1,9.618,2:14.504,5,10.688,2:16.663
5,11.44,2:29.404,0,,DQ,2,10.30,2:24.936,3,10.26,2:24.994,1,10.06,2:24.559,4,11.81,2:28.469
