UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,YOU Dong-Kun POSITION,YOU Dong-Kun LAP TIME,YOU Dong-Kun ELAPSED TIME
1,12.21,12.21,2,12.28,12.28,3,12.29,12.29,4,12.54,12.54
2,9.70,21.91,4,9.97,22.26,1,9.46,21.76,3,9.57,22.11
2,9.29,31.20,4,9.17,31.43,1,9.21,30.97,3,9.16,31.27
4,9.29,40.49,3,9.05,40.49,1,9.07,40.05,2,9.13,40.40
3,9.28,49.78,2,9.25,49.74,4,10.33,50.39,1,9.23,49.64
3,9.17,58.95,1,8.94,58.69,4,10.85,1:01.24,2,9.14,58.79
4,8.92,1:07.88,2,8.97,1:07.66,1,6.14,1:07.39,3,8.99,1:07.78
3,8.88,1:16.77,2,8.99,1:16.65,4,19.71,1:27.10,1,8.75,1:16.54
0,,DQ,0,,DQ,2,12.61,1:39.705,1,9.27,1:25.809
