Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
1,8.50,8.50,4,8.65,8.65,2,8.53,8.53,3,8.54,8.54,5,8.81,8.81,6,8.99,8.99
2,11.53,20.03,4,11.48,20.13,1,11.36,19.89,3,11.54,20.08,6,11.48,20.29,5,11.20,20.19
3,10.53,30.56,5,10.65,30.78,2,10.52,30.41,4,10.56,30.64,6,10.60,30.89,1,9.99,30.18
3,10.15,40.71,5,10.11,40.89,2,10.20,40.61,4,10.17,40.81,6,10.09,40.98,1,10.35,40.53
4,10.77,51.48,5,10.71,51.60,2,10.70,51.31,3,10.57,51.38,6,10.75,51.73,1,10.69,51.22
4,9.98,1:01.46,5,9.96,1:01.56,2,9.96,1:01.27,3,10.00,1:01.38,6,9.92,1:01.65,1,9.96,1:01.18
5,10.69,1:12.15,4,10.57,1:12.13,2,10.64,1:11.91,3,10.65,1:12.03,6,10.69,1:12.34,1,10.60,1:11.78
5,10.44,1:22.59,4,10.35,1:22.48,2,10.39,1:22.30,3,10.38,1:22.41,6,10.36,1:22.70,1,10.41,1:22.19
3,9.97,1:32.56,4,10.21,1:32.69,2,10.05,1:32.35,6,30.12,1:52.53,5,10.19,1:32.89,1,10.14,1:32.33
3,9.69,1:42.25,4,9.71,1:42.40,1,9.64,1:41.99,6,27.59,2:20.12,5,9.70,1:42.59,2,9.81,1:42.14
3,9.69,1:51.94,4,9.68,1:52.08,1,9.75,1:51.74,6,17.87,2:37.99,5,9.61,1:52.20,2,9.69,1:51.83
3,9.63,2:01.57,4,9.63,2:01.71,1,9.57,2:01.31,6,13.87,2:51.86,5,9.69,2:01.89,2,9.62,2:01.45
3,9.58,2:11.15,4,9.62,2:11.33,1,9.58,2:10.89,6,12.76,3:04.62,5,9.77,2:11.66,2,9.57,2:11.02
0,,PEN,3,9.86,2:21.185,1,9.83,2:20.718,5,12.48,3:17.095,4,10.37,2:22.028,2,9.75,2:20.770
