MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,WANG Xiran POSITION,WANG Xiran LAP TIME,WANG Xiran ELAPSED TIME
2,14.03,14.03,3,14.14,14.14,4,14.21,14.21,1,13.99,13.99
3,11.15,25.18,1,10.97,25.11,4,11.07,25.28,1,11.12,25.11
3,10.27,35.45,1,10.18,35.29,4,10.25,35.53,2,10.29,35.40
3,10.34,45.79,1,10.36,45.65,4,10.37,45.90,1,10.25,45.65
3,10.16,55.95,2,10.18,55.83,4,10.11,56.01,1,10.16,55.81
2,9.63,1:05.58,1,9.62,1:05.45,4,9.77,1:05.78,3,9.85,1:05.66
2,9.58,1:15.16,1,9.63,1:15.08,4,9.56,1:15.34,3,9.61,1:15.27
1,9.55,1:24.71,1,9.63,1:24.71,4,9.60,1:24.94,3,9.60,1:24.87
1,9.60,1:34.31,2,9.75,1:34.46,4,10.00,1:34.94,3,9.84,1:34.71
