Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Adam KOVACS POSITION,Adam KOVACS LAP TIME,Adam KOVACS ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
1,13.675,13.675,3,14.123,14.123,4,14.141,14.141,2,14.090,14.090,5,14.230,14.230
1,10.860,24.535,3,10.677,24.800,2,10.513,24.653,4,10.837,24.926,5,10.708,24.938
1,10.663,35.197,5,10.799,35.598,3,10.712,35.364,2,10.332,35.258,4,10.650,35.588
3,10.257,45.454,4,10.851,46.449,5,11.392,46.756,2,10.104,45.362,1,9.755,45.343
3,9.770,55.223,4,10.524,56.973,5,10.348,57.103,2,9.715,55.076,1,9.641,54.983
3,9.945,1:05.168,5,10.158,1:07.130,4,9.790,1:06.893,2,9.906,1:04.982,1,9.906,1:04.889
3,10.017,1:15.184,5,9.679,1:16.808,4,9.906,1:16.799,2,9.872,1:14.853,1,9.934,1:14.823
1,9.314,1:24.497,4,9.938,1:26.746,5,11.054,1:27.853,3,9.977,1:24.830,2,9.888,1:24.710
1,10.29,1:34.780,4,10.79,1:37.529,5,16.12,1:43.966,2,10.14,1:34.966,3,10.58,1:35.284
