Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
0,,,2,6.82,6.82,1,6.79,6.79,3,7.08,7.08
2,0.00,15.68,1,8.82,15.65,4,23.45,30.24,3,8.81,15.89
2,8.76,24.45,1,8.63,24.28,4,22.75,53.00,3,8.59,24.49
2,8.65,33.10,1,8.74,33.02,4,14.76,1:07.76,3,8.73,33.23
2,8.83,41.926,1,8.79,41.801,4,16.11,1:23.864,3,18.06,51.288
