HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
1,12.52,12.52,2,12.63,12.63,5,13.06,,4,12.95,12.95,3,12.83,12.83,6,13.17,13.17
1,9.49,22.01,2,9.47,22.10,5,9.38,,4,9.41,22.36,3,9.40,22.23,6,9.41,22.58
1,9.32,31.33,2,9.27,31.37,5,9.28,,4,9.25,31.61,3,9.28,31.51,6,9.24,31.82
1,8.98,40.31,2,9.03,40.40,5,8.95,,4,8.97,40.58,3,9.00,40.51,6,8.94,40.76
1,9.21,49.52,2,9.21,49.61,5,9.20,,4,9.20,49.78,3,9.20,49.71,6,9.17,49.93
1,9.22,58.74,2,9.23,58.84,6,9.37,,4,9.23,59.01,3,9.23,58.94,5,9.18,59.11
2,9.16,1:07.90,1,9.04,1:07.88,6,9.02,,4,9.02,1:08.03,3,9.03,1:07.97,5,9.03,1:08.14
2,8.89,1:16.79,1,8.83,1:16.71,5,8.81,,6,9.12,1:17.15,3,8.88,1:16.85,4,8.85,1:16.99
2,9.14,1:25.917,1,9.03,1:25.719,6,10.26,,3,9.03,1:26.142,5,9.81,1:26.647,4,9.40,1:26.378
