Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,7.47,7.47,3,7.81,7.81,2,7.51,7.51,4,7.86,7.86
2,10.09,17.57,3,9.85,17.66,1,9.80,17.31,4,9.95,17.81
2,9.26,26.83,3,9.35,27.02,1,9.27,26.59,4,9.29,27.10
4,9.93,36.77,2,9.26,36.28,1,9.16,35.76,3,9.31,36.42
4,11.00,47.765,2,9.41,45.682,1,9.82,45.575,3,9.57,45.986
