Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,13.33,13.33,3,13.47,13.47,1,13.21,13.21,4,13.68,13.68
2,10.00,23.33,3,9.87,23.34,1,10.04,23.25,4,9.81,23.49
2,9.63,32.96,3,9.63,32.97,1,9.60,32.85,4,9.65,33.14
2,9.32,42.28,3,9.36,42.33,1,9.36,42.21,4,9.23,42.37
2,9.34,51.62,4,9.51,51.84,1,9.41,51.62,3,9.35,51.72
1,9.06,1:00.68,3,9.27,1:01.11,2,9.41,1:01.03,4,9.43,1:01.15
1,9.20,1:09.88,4,9.59,1:10.70,2,9.63,1:10.66,3,9.53,1:10.68
1,9.43,1:19.31,2,9.65,1:20.35,4,10.05,1:20.71,3,9.75,1:20.43
1,9.56,1:28.870,3,9.91,1:30.260,4,9.72,1:30.428,2,9.63,1:30.059
