KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,SLABODNIK Artsemi POSITION,SLABODNIK Artsemi LAP TIME,SLABODNIK Artsemi ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
2,6.97,6.97,1,6.93,6.93,3,7.19,7.19,4,7.41,7.41,5,7.42,7.42
2,9.28,16.25,1,9.12,16.05,3,9.16,16.35,5,9.16,16.57,4,9.00,16.42
4,8.95,25.20,1,8.66,24.71,3,8.78,25.13,5,8.81,25.38,2,8.63,25.05
4,9.12,34.32,1,8.82,33.53,3,8.90,34.03,5,9.17,34.55,2,8.72,33.77
4,9.21,43.53,1,9.07,42.60,3,8.69,42.72,5,9.41,43.96,2,8.91,42.68
